*************回答见下******************
春城街道中最高出现倾向的十个单字：
'城'：倾向值 3.5456，春城街道出现次数：5，总出现次数：16
'北'：倾向值 2.9549，春城街道出现次数：6，总出现次数：19
'门'：倾向值 2.7634，春城街道出现次数：7，总出现次数：32
'果'：倾向值 2.6977，春城街道出现次数：5，总出现次数：22
'桥'：倾向值 2.6709，春城街道出现次数：7，总出现次数：28
'枝'：倾向值 1.9566，春城街道出现次数：5，总出现次数：27
'荔'：倾向值 1.7951，春城街道出现次数：5，总出现次数：27
'南'：倾向值 1.5677，春城街道出现次数：5，总出现次数：52
'沙'：倾向值 0.9395，春城街道出现次数：10，总出现次数：94
'新'：倾向值 0.8912，春城街道出现次数：29，总出现次数：375

春城街道中最低出现倾向的十个单字：
'岩'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：25
'古'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：32
'西'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：33
'边'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：26
'间'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：22
'独'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：27
'铺'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：29
'鱼'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：29
'横'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：28
'车'：倾向值 -1.0000，春城街道出现次数：0，总出现次数：53

**************回答见下******************
河西街道中最高出现倾向的十个单字：
'湖'：倾向值 2.4381，河西街道出现次数：17，总出现次数：81
'三'：倾向值 1.1995，河西街道出现次数：8，总出现次数：68
'屋'：倾向值 1.1800，河西街道出现次数：24，总出现次数：224
'仔'：倾向值 1.0050，河西街道出现次数：26，总出现次数：286
'岗'：倾向值 1.0038，河西街道出现次数：32，总出现次数：305
'黄'：倾向值 0.7630，河西街道出现次数：7，总出现次数：114
'寨'：倾向值 0.7186，河西街道出现次数：41，总出现次数：476
'头'：倾向值 0.4813，河西街道出现次数：20，总出现次数：292
'九'：倾向值 3.4961，河西街道出现次数：3，总出现次数：12
